Model,Jensen-Shannon,Kullback-Leibler,Kolmogorov-Smirnov,Wasserstein
VAE-CONV1,0.249268794361215,inf,0.12928735033978883,0.005733075558366304
VAE-CONV3,0.2753373674374018,inf,0.17210730600682494,0.010746167498547598
VAE-FD1,0.08096938138174684,inf,0.04372810239602173,0.0019864359624628394
VAE-FD2,0.3798954774629195,inf,0.22019499121361494,0.007848544519803484
VQ-VAE-CONV2,0.09742654505881242,inf,0.05531719852855394,0.0019099470542238133
VQ-VAE-FD1,0.20886587019490738,inf,0.09892328045703781,0.004823185186157799
