model,metrics,data0,data1,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data2,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data3,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data4,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data5,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data6,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data7,data70,data71,data72,data73,data74,data75,data76,data77,data78,data8,data9,Mean metrics
VAE-FD1,Jensen-Shannon,0.13237500993000006,0.12211740224114244,0.08791100381243826,0.11464818590159247,0.1325830946284074,0.14278009600204364,0.13949218992726695,0.13954003410768698,0.14269950110429483,0.14868342469261434,0.12178895847364161,0.09156262763417304,0.11752573606454769,0.06382860980587489,0.053625946095537405,0.053368690890404705,0.05227524390161349,0.0555009538956298,0.049958773821165516,0.059756218866019416,0.054766931708901116,0.05667668052971945,0.058219387775281566,0.10269493974964937,0.05449083070048485,0.0560568536592276,0.055073387150782936,0.06481415794345398,0.07935629212956569,0.08682047691224185,0.07884339569262251,0.08065003352237372,0.06835357904941003,0.067899829681278,0.0977354041323806,0.06513595684373974,0.06647410465427431,0.056383613524249886,0.053235178242868914,0.04534391281894184,0.04769427182198082,0.04697906786994666,0.06350908348390638,0.06964823827156971,0.0737300283919844,0.09420080108834776,0.07690748415207557,0.08609592744932497,0.07553188660733084,0.07081570350432773,0.07309219208474266,0.07513689000490703,0.07820259228517437,0.08602702563519705,0.0943649390212091,0.09773382125039727,0.09361957620659052,0.09387597318117998,0.10310068978540986,0.11163717573656583,0.11414049545186865,0.10083383545590016,0.08166215596526946,0.07171705101328778,0.06625774496791574,0.063686236126284,0.06419660196220815,0.08806270578324799,0.0589414123469167,0.0647814901847007,0.07893571102497192,0.07099074820960183,0.07240159220267371,0.07348914905564903,0.07399107240680196,0.08174328685291309,0.08135970781895858,0.05902426597462363,0.04741585030449712,0.08096938138174684
VAE-FD1,KS-pvalue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
VAE-FD1,Kolmogorov-Smirnov,0.06719830069124433,0.05940380184331806,0.029593894009216637,0.04483186923963134,0.05602858582949309,0.06482214861751151,0.060303859447004615,0.060105846774193505,0.06518217165898617,0.0690794210829493,0.06051987327188946,0.04385080645161299,0.05835973502304148,0.021259360599078292,0.02121435771889399,0.023167482718894017,0.024139544930875556,0.03524625576036866,0.03245607718894006,0.04848610311059906,0.04090761808755761,0.04677599366359447,0.04766705069124422,0.05143829205069128,0.039584533410138234,0.042977750576036866,0.041618663594470084,0.049917194700460826,0.054993519585253475,0.0659832229262673,0.05242835541474655,0.05843173963133641,0.04626296082949305,0.04947616647465439,0.04727102534562211,0.04760404665898618,0.047829061059907835,0.03219506048387094,0.03063796082949305,0.013122839861751168,0.01293382776497698,0.013221846198156688,0.026362687211981567,0.02696572580645161,0.02889184907834101,0.045371903801843305,0.030187932027649772,0.03259108582949309,0.02578665034562211,0.0223754320276498,0.02860383064516131,0.048837125576036866,0.05588457661290325,0.059637816820276496,0.06850338421658986,0.06815236175115208,0.042599726382488545,0.06376908122119818,0.07516381048387097,0.08118519585253456,0.08510944700460829,0.07213961693548387,0.05918778801843316,0.052401353686635954,0.046109951036866326,0.04501188076036866,0.04628096198156678,0.03908050115207373,0.027730774769585242,0.026281682027649772,0.03263608870967742,0.023419498847926268,0.030502952188940113,0.02587665610599077,0.028216805875576068,0.031556019585253454,0.03221306163594473,0.024535570276497665,0.01683107718894017,0.04372810239602173
VAE-FD1,Kullback-Leibler,inf,135.66005091500926,inf,105.11971688514379,113.362237187603,123.7454036047705,125.44700298333339,115.86882832120538,115.90379442865341,116.11886813081597,82.92787187155216,60.474675303095225,132.74924505156076,65.62142821083216,68.27511827961764,79.71644660257857,80.11757884741272,100.54686489221254,101.0679277891505,129.7834348408124,108.20066678339595,118.16055237268355,120.87224585224943,111.75773275451844,122.07097186205905,148.26468295142374,92.73919160234095,103.86789454133661,121.38384246904269,inf,170.22706672632444,198.5452770916359,inf,103.37713745387826,inf,100.87833951372201,116.49561731488268,40.83065591113575,37.01477606965123,21.044625111188004,37.94927668493325,36.39358972635256,72.71635266865867,74.10725323172139,129.18191493282188,inf,81.77719533706718,87.21307069534069,107.19895351495992,inf,inf,inf,98.73256979800068,112.39133324065867,76.90513524269221,83.14010761475944,inf,72.32050821121743,inf,147.65374448039157,152.2669141201177,134.36230375467076,100.83563809399891,83.2121808214561,78.00508171186088,72.94854183450735,73.79104564314224,inf,67.02159782611632,70.83869602558471,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
VAE-FD1,Wasserstein,0.004269830396786931,0.0037945836396682097,0.002306955016933239,0.003473397525901744,0.004278464951086314,0.004822143839294406,0.004663805253328484,0.004663044311343188,0.0048009410563092485,0.005068670861079164,0.00381169846423293,0.002552996228380035,0.003589018439821412,0.0013817672840220243,0.0010986065923334004,0.001042874248736253,0.0010177016916771981,0.001172506724494653,0.0010157445031440389,0.0012529658539866756,0.0011295698483149452,0.0012084030228863283,0.0012273068333245472,0.0029768883869161406,0.001105100764253726,0.001156184182761197,0.0011415680122423798,0.0013604478968901868,0.0016939199889270005,0.001859548411118178,0.0016658820027972893,0.0016842220809071523,0.001369307916675588,0.0013865732166355475,0.002724873063969891,0.0013274638193754892,0.001385775460810743,0.0011727470522857489,0.0010746874963844736,0.0008040409902750896,0.0008670711900595125,0.0008580477530768302,0.001553495614468977,0.00167198646771475,0.0018437759026991762,0.002588510266094678,0.0020126786101660027,0.002361326153424394,0.001897891483307331,0.0014794392324092335,0.0016665583119135114,0.0016904242018040297,0.0015802704290372907,0.0017485785246165039,0.0019295293884579387,0.002059129021070942,0.0025241767063517995,0.0019878290711777815,0.002179269685510804,0.002392236010398624,0.002440898006522542,0.002075270129809407,0.0016345184702717792,0.0014194967057242097,0.0012969384391611476,0.00123914118734329,0.0012726520209115832,0.0023086901064681598,0.0011062117847092559,0.001265924961820597,0.0018556067549290035,0.0014467933751460707,0.0014728026206930127,0.0014811085549361073,0.0015855608522362804,0.0020435770774148696,0.002142521485328467,0.0013927716891849135,0.001023505457882339,0.0019864359624628394
VAE-FD2,Jensen-Shannon,0.4491522995157154,0.44334592688461766,0.4075234250588612,0.4283143482930415,0.44125649208208284,0.4555946773930733,0.4520118297816469,0.4513814544065657,0.45375187782781146,0.45733665871098655,0.4411353856370273,0.41442589416667164,0.44168795309248154,0.3951496741506404,0.37968957012742266,0.3723727266625913,0.3704035105727525,0.37067156735003204,0.3701204780822236,0.3570561500787438,0.35936593664702826,0.3603994138505043,0.3574530232919657,0.4283112940039893,0.35890162782367657,0.3582248649546771,0.356757022051286,0.34631626095511286,0.3318374261547616,0.32637612529538734,0.33218412086589555,0.33124215957760655,0.3425523141687106,0.3420454841126149,0.42148652194663194,0.34435000010694616,0.3421879687663736,0.3504538457469172,0.3551387014512136,0.38112730227090846,0.3795381379764166,0.38760110585641727,0.4000934379429433,0.40444694897515543,0.4078099073030786,0.41392892415494476,0.4099161402525041,0.4120937691138216,0.39525054023564404,0.3844188631718586,0.3844165967045461,0.36686721060254107,0.3429258733462602,0.33156418962994977,0.321960469427762,0.3143570526408163,0.41879895863508043,0.317625148693859,0.3103281564586925,0.3025956751837185,0.30055237652518707,0.3147827419592618,0.33483093686984244,0.34724571613290245,0.3521442394623725,0.3561638265540603,0.3568217033671537,0.41455675806440045,0.3770392459188815,0.3934262422884605,0.4073578274080395,0.3932212240240369,0.38569850662281996,0.390132451894784,0.3923699568191693,0.4089568675550047,0.41051475161172146,0.3984713928138303,0.39182553345550825,0.3798954774629195
VAE-FD2,KS-pvalue,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
VAE-FD2,Kolmogorov-Smirnov,0.26587701612903225,0.25878456221198154,0.23357394873271897,0.24657978110599077,0.2536722350230415,0.26336585541474655,0.25934259792626724,0.26080069124423966,0.2633388536866359,0.26479694700460826,0.2616647465437788,0.2454817108294931,0.25634540610599077,0.22339429723502308,0.217741935483871,0.20966841877880182,0.20868735599078347,0.2199740783410138,0.21754392281105994,0.21613983294930872,0.21298963133640558,0.22024409562211977,0.2170218894009217,0.25124207949308763,0.21058647753456217,0.21357466877880182,0.21045146889400923,0.20452908986175122,0.19027217741935487,0.1937554003456221,0.1868339573732719,0.19150525633640547,0.19376440092165903,0.19652757776497698,0.24633676555299533,0.19761664746543772,0.1952584965437788,0.1944124423963134,0.19663558467741937,0.21469974078341014,0.21637384792626727,0.2211621543778802,0.23864127304147467,0.23336693548387097,0.23126080069124424,0.24618375576036866,0.23323192684331795,0.24020737327188935,0.23306991647465436,0.21882200460829493,0.22361931163594473,0.22152217741935487,0.20080285138248843,0.18874207949308752,0.1846558179723502,0.17613227246543783,0.2407384072580645,0.17647429435483863,0.17814840149769595,0.17534922235023043,0.17696932603686633,0.18051555299539168,0.19366539458525356,0.20259396601382496,0.20364703341013823,0.20799431163594473,0.2106584821428572,0.23882128456221197,0.21756192396313367,0.2207121255760369,0.23111679147465436,0.22391633064516137,0.22606746831797242,0.22543742799539168,0.2293526785714286,0.2400183611751152,0.24666078629032262,0.23095478110599077,0.22520341301843327,0.22019499121361494
VAE-FD2,Kullback-Leibler,inf,1326.8555053502178,inf,1049.2915919645764,1040.9011431721115,1104.2925205413794,1021.0887558506981,990.7661492786818,946.8767040047483,942.1694148917238,876.6503428187576,784.5491841337769,1345.0073573112131,796.8633778425149,792.5712854176411,800.604412838186,797.3340635214124,827.6213435034172,876.8004212217677,893.5532457701479,846.9425144507135,875.0948618372479,870.6152014450979,1205.4646581165646,874.7602059473611,947.58830622313,926.2318636429743,891.7672036933259,809.4319770212603,inf,947.7633460170113,1022.8091876744148,inf,949.3809383231046,inf,960.7674754497299,993.6004466706818,942.9068046115635,874.7522339720215,1001.3398150929196,935.9844542393741,974.0365194721705,938.8582989184528,948.904562473831,1010.7695122123629,inf,871.6691786819904,876.1518618358189,892.8204677936142,inf,inf,inf,776.8126743709163,754.4973361571039,693.3965174490427,664.9409637112333,inf,665.1046828736703,inf,680.0909275225106,675.7873616106372,727.6493650389968,767.1338296748544,786.5053496535675,804.6762880693162,804.2113714559616,809.4169848625893,inf,886.1272297586363,906.1167988246859,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
VAE-FD2,Wasserstein,0.011266296661049044,0.010802634432646195,0.00924333940804299,0.010466347955115436,0.011288905792983361,0.011840560366560062,0.011688521829556469,0.01168392947595276,0.011826506140862985,0.01209426795816662,0.010800713672858597,0.009443756656585681,0.010599819516309564,0.008312645952688309,0.007558660088253127,0.007309924880307201,0.007214243319332135,0.007226936372513488,0.007068603971915689,0.006573333046928925,0.006561619912998354,0.006568378515762649,0.0064298302682578605,0.009940028338305663,0.006506141410017607,0.0064429645516717845,0.006419107717797313,0.00613830782252291,0.005748897815337151,0.005576434745609759,0.005760849371865431,0.005762051752411863,0.006108061457728299,0.006101237569497833,0.009665407586261452,0.006142006043945578,0.006048310736457882,0.006235167652663044,0.006422186663832181,0.007443478750668262,0.007445627444875147,0.007695242423048812,0.008396107519002957,0.008683157366032958,0.008842304855780867,0.00939117032759315,0.008961937848739302,0.00923215872336717,0.008533033187772548,0.008128661601563647,0.008174248445067743,0.007526421295515931,0.006518794534162626,0.006160088604702896,0.005902636005389026,0.005521219044170047,0.009500078791304368,0.005582909835721454,0.005388632465585135,0.005092078928111749,0.005042743993421679,0.0055625931027429255,0.006129084524077379,0.006484720547485719,0.0066017100611394436,0.006717439045282853,0.006709242749982091,0.009267113916082065,0.007483897423462951,0.008139925265124267,0.008754594742672324,0.008192910558843044,0.007944996411958248,0.00810563893993776,0.008192656730902805,0.008826733709867208,0.008850065827528427,0.008211700047307978,0.007810324036906891,0.007848544519803484
