Model,Jensen-Shannon,Kullback-Leibler,Kolmogorov-Smirnov,Wasserstein,L1,L2
TIME-VAE-BASE,0.23769554114650004,1906.2902209453262,0.16561196625444793,0.006551249932869176,3704.011179208096,239.4572134527954
VAE-CONV1,0.19074375043119307,1447.2064377977285,0.12928735033978883,0.005733075558366304,2938.6528778333827,173.70118514174288
VAE-CONV3,0.26464725956745405,1836.7015441587741,0.17210730600682494,0.010746167498547598,3958.5945042436897,196.21640924148497
VAE-FD1,0.07000045795782571,290.3397058920706,0.04372810239602173,0.0019864359624628394,917.7807981261633,52.36627306426464
VAE-FD2,0.300895487451606,3597.4851311096168,0.22019499121361494,0.007848544519803484,5025.104680533966,356.28284363183764
VQ-VAE-CONV2,0.17562077182447824,682.3586475683418,0.05531719852855394,0.0019099470542238133,2314.257009489964,153.93994574725127
VQ-VAE-FD1,0.15459064199003303,891.3329742018815,0.09892328045703781,0.004823185186157799,2224.4808378533626,120.51390346254217
